,country,2017,2018,2019,2020,2021,2022,2023,continent
179,Taiwan,18100281,22194731,23083083,23859912,23893394,24027999,22445526,Asia
180,Tajikistan,4045965,6272998,7621779,9750064,9952787,11421430,15200989,Asia
181,Tanzania,19297659,34463704,45110527,63588334,65497748,81885304,129931520,Africa
182,Thailand,45737753,63066603,68270489,71601103,71697030,72060018,67880083,Asia
183,Timor-Leste,642224,878360,1088486,1320942,1341296,1495081,1806869,Asia
184,Togo,2838110,5008035,6571855,8644829,8848699,10558178,15478883,Africa
185,Tonga,96708,102603,107383,106017,106858,114124,131225,Oceania
186,Trinidad and Tobago,1127852,1332203,1410296,1525663,1531044,1547690,1485139,Americas
187,Tunisia,6578156,9893316,10895063,12262946,12356117,13100768,14315779,Africa
188,Turkey,44089069,64113547,73195345,84775404,85341241,88879698,95829258,Asia
189,Turkmenistan,2862903,4569132,5267970,6341855,6430770,7034758,8263833,Asia
190,Tuvalu,7731,9638,10550,11204,11312,11917,13211,Oceania
191,Uganda,13284026,24020697,32341728,45853778,47249585,58380262,87622081,Africa
192,Ukraine,49973920,48879755,45683020,43531422,39701739,38295429,32867719,Europe
193,United Arab Emirates,1014048,3275333,8481771,9365145,9441129,10004319,11449471,Asia
194,United Kingdom,56326328,58850043,62760039,67281039,67508936,69175770,71684966,Europe
195,United States,223140018,282398554,311182845,336997624,338289857,352162301,375391963,Americas
196,Uruguay,2953750,3292224,3352651,3426260,3422794,3423372,3337143,Americas
197,Uzbekistan,15947129,24925554,28614227,34081449,34627652,38313228,45593149,Asia
200,Venezuela,15210443,24427729,28715022,28199867,28301696,32027461,35937404,Americas
202,Western Sahara,116775,270375,413296,565581,575986,662726,851067,Africa
203,Yemen,9204938,18628700,24743946,32981641,33696614,39923245,55296331,Asia
204,Zambia,5720438,9891136,13792086,19473125,20017675,24676417,37460435,Africa
205,Zimbabwe,7049926,11834676,12839771,15993524,16320537,19179393,26438589,Africa
