"","X","country","continent","year","population"
"279",899,"Mozambique","Africa",2021,32969518
"280",1355,"Ukraine","Europe",2023,32867719
"281",649,"Ghana","Africa",2020,32833031
"282",1324,"Senegal","Africa",2023,32562869
"283",508,"Morocco","Africa",2019,32464865
"284",574,"Uganda","Africa",2019,32341728
"285",1179,"Australia","Oceania",2023,32192919
"286",704,"Mozambique","Africa",2020,32077072
"287",1166,"Venezuela","Americas",2022,32027461
"288",470,"Iraq","Asia",2019,31264875
"289",283,"Kenya","Africa",2018,30851606
"290",198,"Algeria","Africa",2018,30774621
"291",226,"Canada","Americas",2018,30683313
"292",903,"Nepal","Asia",2021,30547580
"293",708,"Nepal","Asia",2020,30034989
"294",1146,"Syria","Asia",2022,29824735
"295",881,"Madagascar","Africa",2021,29611714
"296",163,"South Africa","Africa",2017,29463549
"297",543,"Saudi Arabia","Asia",2019,29411929
"298",527,"Peru","Americas",2019,29229572
"299",686,"Madagascar","Africa",2020,28915653
"300",493,"Malaysia","Asia",2019,28717731
"301",581,"Venezuela","Americas",2019,28715022
"302",1080,"Mali","Africa",2022,28712294
"303",580,"Uzbekistan","Asia",2019,28614227
"304",313,"Morocco","Africa",2018,28554415
"305",971,"Venezuela","Americas",2021,28301696
"306",984,"Australia","Oceania",2022,28202414
"307",776,"Venezuela","Americas",2020,28199867
"308",391,"Afghanistan","Asia",2019,28189672
"309",7,"Argentina","Americas",2017,28024803
"310",810,"Cameroon","Africa",2021,27914536
"311",1002,"Burkina Faso","Africa",2022,27523563
"312",615,"Cameroon","Africa",2020,27198628
"313",513,"Nepal","Asia",2019,27161567
"314",48,"DR Congo","Africa",2017,26708686
"315",332,"Peru","Americas",2018,26654439
"316",1365,"Zimbabwe","Africa",2023,26438589
"317",362,"Sudan","Africa",2018,26298773
"318",907,"Niger","Africa",2021,26207977
"319",789,"Australia","Oceania",2021,26177413
"320",37,"Colombia","Americas",2017,26176195
"321",594,"Australia","Oceania",2020,25921089
"322",1257,"Kazakhstan","Asia",2023,25609978
"323",454,"Ghana","Africa",2019,25574719
"324",1189,"Benin","Africa",2023,25264035
"325",712,"Niger","Africa",2020,25252722
"326",1077,"Malawi","Africa",2022,24944243
"327",385,"Uzbekistan","Asia",2018,24925554
"328",583,"Yemen","Asia",2019,24743946
"329",1169,"Zambia","Africa",2022,24676417
"330",275,"Iraq","Asia",2018,24628858
"331",1239,"Guatemala","Americas",2023,24600727
"332",318,"Nepal","Asia",2018,24559500
"333",31,"Canada","Americas",2017,24511510
"334",386,"Venezuela","Americas",2018,24427729
"335",1198,"Burundi","Africa",2023,24208671
"336",1147,"Taiwan","Asia",2022,24027999
"337",379,"Uganda","Africa",2018,24020697
"338",952,"Taiwan","Asia",2021,23893394
"339",757,"Taiwan","Asia",2020,23859912
"340",1240,"Guinea","Africa",2023,23711700
"341",395,"Angola","Africa",2019,23364185
"342",562,"Taiwan","Asia",2019,23083083
"343",509,"Mozambique","Africa",2019,23073723
"344",1316,"Rwanda","Africa",2023,23030046
"345",298,"Malaysia","Asia",2018,22945150
"346",807,"Burkina Faso","Africa",2021,22673762
"347",885,"Mali","Africa",2021,22593590
"348",1009,"Chad","Africa",2022,22460393
"349",1342,"Taiwan","Asia",2023,22445526
"350",561,"Syria","Asia",2019,22337563
"351",1137,"Somalia","Africa",2022,22316857
"352",1219,"Ecuador","Americas",2023,22269779
